EXPOSICIÓN;PENDIENTE;8:00 a 9:59;10:00 a 11:59;12:00 a 13:59;14:00 a 15:59;16:00 a 17:59;18:00 a 19:59;20:00
Sur;TODAS;5;5;4;4;5;5;0
Este;TODAS;5;4;4;4;5;5;0
Norte;TODAS;5;4;4;4;4;5;0
Oeste;TODAS;5;5;4;4;4;5;0
